Date,Open,High,Low,Close
2012-09-21,1.3124,1.3172,1.2918,1.2971
2012-09-14,1.2806,1.3168,1.2752,1.3137
2012-09-07,1.258,1.2828,1.2499,1.2815
2012-08-31,1.2507,1.2637,1.2464,1.2576
2012-08-24,1.2338,1.2589,1.2293,1.2512
2012-08-17,1.2286,1.2385,1.2254,1.2321
2012-08-10,1.2393,1.2443,1.224,1.2288
2012-08-03,1.2301,1.2403,1.2132,1.2386
2012-07-27,1.2121,1.239,1.2041,1.2321
2012-07-20,1.225,1.2323,1.2142,1.2154
2012-07-13,1.2266,1.2334,1.2161,1.2243
2012-07-06,1.267,1.2673,1.2259,1.2281
2012-06-29,1.2552,1.2692,1.2406,1.266
